"user_id","event_id","billing_promoter_tier","in_library","is_exclusive","is_primary","is_allocation","has_deal","label","total_candidates"
"58a4d80f8983be62fe4e9c8b","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"58b3374d8983be62fec021f4","6346841eeffd5d0001b37fe3",pro,true,true,false,false,true,bronze,1
"58cd98318983be62fe757a7d","634d31ad9a1c7a0001f4da08",max,true,false,true,false,true,gold,1
"58d6737a8983be62fe98346f","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"58d96f6d8983be62feb24ea3","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"58f0a21b8983be62fef7f084","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5904dd868983be07b3e236e0","6346841eeffd5d0001b37fe3",pro,true,true,false,false,true,bronze,1
"598187548983be04bcce0cfd","634d6c18202aa80001a33573",max,true,false,true,false,true,gold,1
"59bcfd490e0d4e1d7149d906","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"59ca8744a7934d0d12d8a9d9","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"59d4a6ade20451673bd00e9d","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,1
"59d4f354a7934d6846249c44","6347ecb9d1f70f000138f516",pro,true,false,true,false,true,bronze,1
"59d8e3b90e0d4e25aa382985","6346b69c83f53d000125cae9",pro,true,true,false,false,true,bronze,2
"59d8e3b90e0d4e25aa382985","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,2
"59da45500e0d4e25aa38a086","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"59e63f8a0e0d4e744a9eea82","6347ecb9d1f70f000138f516",pro,true,false,true,false,true,bronze,1
"59ed9afb0e0d4e26b50e9ecb","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"59fb57a7a7934d499caf12f4","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,1
"59fc8ee5a7934d499cafe26d","6346b69c83f53d000125cae9",pro,true,true,false,false,true,bronze,1
"5a07313e0e0d4e6e79e51862","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5a0b2015e2045172bf8bf2ef","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5a10b75ce2045179007e5de2","6346b69c83f53d000125cae9",pro,true,true,false,false,true,bronze,2
"5a10b75ce2045179007e5de2","634820ccd1f70f00013905da",pro,true,false,true,false,true,bronze,2
"5a2545dd0e0d4e13958f47ca","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,1
"5a37e584a7934d0bca8b22e9","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5a6cbadda7934d796c70f672","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5a738030a7934d455f0a09e9","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,2
"5a738030a7934d455f0a09e9","634d31ad9a1c7a0001f4da08",max,true,false,true,false,true,gold,2
"5a7887f9a7934d6663faf3cd","6346841eeffd5d0001b37fe3",pro,true,true,false,false,true,bronze,1
"5a870b0b0e0d4e42aa38b369","6346b69c83f53d000125cae9",pro,true,true,false,false,true,bronze,1
"5a9469c80e0d4e6d0787b91b","6347ecb9d1f70f000138f516",pro,true,false,true,false,true,bronze,1
"5a99e7e60e0d4e7a91edc500","634d6c18202aa80001a33573",max,true,false,true,false,true,gold,1
"5a9c4d3ae2045106af7d47a7","6346841eeffd5d0001b37fe3",pro,true,true,false,false,true,bronze,1
"5aaa77a5a7934d7366fa2d40","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5aad32a0a7934d467b76d357","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,1
"5ad7080da7934d75f30ea7f2","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,1
"5ade4ee7a7934d0d74dce4d3","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5ae2e63b0e0d4e4f61f81b36","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5aec192f0e0d4e18504c3524","634d6c18202aa80001a33573",max,true,false,true,false,true,gold,1
"5aef007ba7934d0d74e21f28","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5af70779a7934d51313ec5a3","63498242aa5fa50001856b5b",pro,true,false,true,false,true,bronze,1
"5afdd20a0e0d4e6dfb2f77c0","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5b1535e4a7934d5baf901b92","634d1a6eaa5fa5000186a5f5",max,true,true,false,false,true,gold_plus,1
"5b1e466ae2045131e02cd088","6346841eeffd5d0001b37fe3",pro,true,true,false,false,true,bronze,1
